合併正規化值,正規化
伺服電機當編碼器使用是時 轉速低於8圈每分鐘平均20分鐘會出現一次從軸反方向動作一下 然後正常運行 換了編碼器就沒有這種現象之前用伺服電機也沒有這種現象,伺服電機當編碼器使用是時 轉速低于8圈每分鐘平均20分鐘會出現一次從軸反方向動作一下 然後正常運行 換了編碼器就沒有這種現象之前用伺服電機也沒有這種現象
低電壓,低電壓報警
低電壓準位設置錯誤,低電壓報警
"使用一段時間後會有斷電,異響情況出現","使用一段時間後會有斷電,異響情况出現"
"使用軸卡測試Ethercat功能,按shift不會導致報警AL3E3,使用測試機測試pass","使用軸卡測試Ethercat功能,按SHIFT不會導致報警AL3E3,使用測試機測試Pass"
使能之後出現22號報警,AL022
使能報AL003,AL003
來料CN2接口歪,CN2異常
偶爾無顯示,偶爾性無顯示
偶爾黑屏,偶爾性無顯示
偶發001報警,AL001
偶發性無顯示,偶爾性無顯示
偶發無顯示,偶爾性無顯示
"內建回生電阻open,過壓533V,回生電阻參數設定異常P1-52=750,P1-53=15000","內建回生電阻oPen,過壓533V,回生電阻參數設定異常P1~52=750,P1~53=15000"
"內部參數參數檢查P1-01=0,未使用通訊模式","內部參數參數檢查P1~01=0,未使用通訊模式"
"內部參數參數檢查P1-01=1,未使用通訊模式","內部參數參數檢查P1~01=1,未使用通訊模式"
內部嚴重損壞,內部損壞
"內部有液體從安裝面上方進入伺服內部,DR58/DR42/DR57/DC64損壞,3.3V低阻抗","內部有液體從安裝面上方進入伺服內部,DR58,DR42,DR57,DC64損壞,3.3V低阻抗"
"內部有粉塵,軟起電阻燒壞,relay融損剎車晶體CE擊穿","內部有粉塵,軟起電阻燒毀,relay融損刹車晶體CE擊穿"
"內部有金屬絲掉落,變壓器底部打火,DR28燒","內部有金屬絲掉落,變壓器底部打火,DR28燒毀"
"內部污染,IGBT炸毀嚴重","內部污染,IGBT炸裂毀嚴重"
"內部油污,IGBT PIN12對COM短路","內部油污腐蝕,IGBT PIN12對COM短路"
"內部油污腐蝕,SPS電路DR1open,DD1擊穿,DU1損壞","內部油污腐蝕,SPS電路DR1oPen,DD1擊穿,DU1損壞"
"內部灰塵很多,DR28損壞","內部污染,DR28損壞"
內部燒壞,內部燒毀
內部短路,內部SHORT
內部端子松,內部端子鬆
"內部粉塵污染嚴重,上電顯示正常但連接馬達時常報警AL011","內部金屬粉塵污染,上電顯示正常但連接馬達時常報警AL011"
內部腐蝕嚴重,內部進水腐蝕
"內部進水腐蝕,剎車晶體DQ2擊穿,回生電阻燒","內部進水腐蝕,剎車晶體DQ2擊穿,回生電阻燒毀"
內部金屬屑,內部金屬粉塵污染
"內部金屬粉塵污染,DQ2燒","內部金屬粉塵污染,DQ2燒毀"
"內部鐵屑污染導致IGBT擊穿,DD22,DD23擊穿,DQ2損壞,回生電阻OPEN,DR300,DC6,DR57燒","內部金屬粉塵污染導致IGBT擊穿,DD22,DD23擊穿,DQ2損壞,回生電阻OPEN,DR300,DC6,DR57燒毀"
"內部鐵粉污染嚴重,DZD8被客戶自行拆除,DQ2擊穿,回聲電阻阻值變大","內部金屬粉塵污染嚴重,DZD8被客戶自行拆除,DQ2擊穿,回聲電阻阻值變大"
內部電子元件DR58燒燬,內部電子元件DR58燒毀
內部電容燒掉,內部電容燒毀掉
內部電源不行,內部電源異常
內部電源有問題,內部電源異常
其他( AL001報警),AL001
其他( R和S螺絲滑絲 ),"R端子_螺絲滑牙,S端子_螺絲滑牙"
"其他(""T""螺絲滑絲)",T端子_螺絲滑牙
其他(001報警),AL001
其他(003報警),AL003
其他(11報警),AL011
其他(11號報警),AL011
其他(16號報警),AL016
其他(1號報警),AL001
其他(3號報警),AL003
其他(85號報警),AL085
其他(AL001),AL001
其他(AL003),AL003
其他(AL006),AL006
其他(AL006無法消除),AL006
其他(AL085報警),AL085
其他(CN1口壞),CN1異常
其他(CN1端口沒有輸出),CN1異常
"其他(CN2接口有問題,插不緊 )",CN2異常
"其他(QIA220401 case材料廠商將 V3 case混入B3 case 料號,case錯料影響產品散熱)","其他(QIA220401 case材料廠商將 V3 case混入B3 case 料號 ,case錯料影響産品散熱)"
其他(R相螺絲滑牙),R端子_螺絲滑牙
其他(S項螺絲滑牙),S端子_螺絲滑牙
"其他(Z軸會自動下降,更換驅動器後,正常。 )","其他(Z軸會自動下降,更換驅動器後,正常 )"
其他(上電不顯示),上電後異常
其他(上電報AL086),AL086
其他(上電報過電流),上電後異常
其他(上電沒反應),上電後異常
其他(上電沒顯示),上電後異常
其他(上電無反應 ),上電後異常
其他(上電無響應),上電後異常
其他(上電無顯示 ),上電後異常
其他(上電無顯示(還回條碼和申請條碼不一致）),上電後異常
其他(上電無顯示),上電後異常
"其他(上電運行過程報AL003,換一臺驅動器就好了)",AL003
其他(上電面板不亮),上電後異常
其他(上電顯示ASD-3),上電後異常
"其他(伺服電機往復運動電機位置會跑偏掉,換臺驅動器就好了)","其他(伺服電機往復運動電機位置會跑偏掉,換台驅動器就好了)"
其他(內部燒壞),其他(內部燒毀)
"其他(告警06,無輸出)",AL006
其他(報001),AL001
"其他(報011（我司刷韌體時發現,一上電就報011）,品質問題)",AL011
其他(報022),AL022
其他(報09F),AL09F
其他(報AL001),AL001
其他(報警001 ),AL001
其他(報警006 ),AL006
其他(報警086),AL086
其他(客戶反映螺絲擰不緊 ),螺絲滑牙
其他(客戶現場批量出現報警 ),其他(客戶現場批量出現報警)
其他(批次問題。),其他(批次問題)
其他(拆了UVW還報AL006),AL006
其他(按鍵壞),其他(按鍵無效)
其他(按鍵無效。),其他(按鍵無效)
其他(故障 ),其他(故障)
其他(故障現象：  新機上電報555),上電後異常
其他(故障現象：黑屏),其他(故障現象:黑屏)
"其他(數碼管偶爾不亮,不亮時無法連線和控制 )","其他(數碼管偶爾不亮,不亮時無法連線和控制)"
其他(數顯屏無顯示),其他(面板顯示故障)
其他(新機驅動器丅的位置螺絲滑牙申請發服務機),其他(新機驅動器T的位置螺絲滑牙申請發服務機)
其他(有顆螺絲擰不進去),螺絲滑牙
其他(模塊壞,其他(模塊壞)
其他(機子不能復位),其他(機子不能複位)
其他(欣巴反退（炸機）),其他(欣巴返退炸裂機)
其他(欣巴批次退回-炸。),其他(欣巴返退炸裂機)
其他(欣巴炸機),其他(欣巴返退炸裂機)
其他(欣巴物流炸機),其他(欣巴返退炸裂機)
其他(欣巴返退炸機),其他(欣巴返退炸裂機)
其他(滑絲),螺絲滑牙
其他(炸機（欣巴批量返回）),其他(欣巴返退炸裂機)
其他(炸機（欣巴）,其他(欣巴返退炸裂機)
其他(無法使用 ),其他(無法使用)
其他(無法連接),其他(通訊異常)
其他(無通訊),其他(通訊異常)
其他(無顯示),其他(面板顯示故障)
其他(發脈衝無法反轉),其他(發脉衝無法反轉
其他(短路 ),其他(SHORT)
其他(短路),其他(SHORT)
其他(聯得黑屏賠償週轉機有劃痕),其他(聯得黑屏賠償周轉機有劃痕)
其他(脈衝點壞了),其他(脉衝點壞了)
其他(螺絲滑牙),螺絲滑牙
其他(通訊不上),其他(通訊不良)
其他(通訊異常),其他(通訊不良)
"其他(連上電源沒顯示,燒壞了)",其他(通訊不良)
其他(週轉機還回),其他(面板顯示故障)
其他(過載al009),AL009
其他(面板不顯示),其他(面板顯示故障)
其他(面板沒有顯示),其他(面板顯示故障)
其他(面板顯示不全),其他(面板顯示故障)
其他(黑屏),其他(面板顯示故障)
"冒火花,燒了","冒火花,燒毀"
冒煙,冒烟
冒煙 短路 跳閘,"冒烟,短路,跳閘"
"冒煙,報警 檢測維修","冒烟,報警,檢測維修"
制動燒壞,制動電阻異常
制動電阻壞,制動電阻異常
制動電阻有問題,制動電阻異常
"剎車DQ2損壞,剎車電阻開路","剎車晶體DQ2擊穿,剎車電阻OPEN"
"剎車參數設定異常,DQ2擊穿,內置回生電阻燒","剎車參數設定異常,DQ2擊穿,內置回生電阻燒毀"
剎車問題,刹車異常
剎車壞,刹車異常
剎車打不開,刹車打不開
"剎車晶體DQ2擊穿,回生電阻open","刹車晶體DQ2燒毀, 軟啓電阻OPEN"
"剎車晶體DQ2擊穿,回生電阻損壞,DD15炸,DC96炸","刹車晶體DQ2擊穿,回生電阻損壞,DD15炸裂,DC96炸裂"
"剎車晶體DQ2擊穿,回生電阻燒","刹車晶體DQ2擊穿,回生電阻燒毀"
"剎車晶體DQ2燒壞,軟啓電阻DR28 open","刹車晶體DQ2燒毀, 軟啓電阻DR28 OPEN"
"剎車晶體打火燒壞,內部有少量金屬粉","刹車晶體打火燒毀,內部有少量金屬粉"
剎車晶體折腳方式異常,刹車晶體折脚方式異常
"剎車晶體擊穿,回生電阻open","刹車晶體擊穿,回生電阻oPen"
"剎車晶體炸裂,PIN腳打火,整流子DD21擊穿","刹車晶體炸裂,PIN脚打火,整流子DD21擊穿"
剎車有問題,刹車異常
剎車模組損壞,刹車模組損壞
剎車電阻出現發熱現象,剎車電阻損壞
剎車電阻壞,剎車電阻損壞
"剛開機可以運行,久了就不動,給脈衝也不動,沒有故障碼","剛開機可以運行,久了就不動,給脉衝也不動,沒有故障碼"
功能不良  檢測維修,"功能不良,檢測維修"
"功能正常,銘板有摔傷。","功能正常,銘板有摔傷"
"功能測試OA/OB/OZ fail,U25損壞","功能測試OA,OB,OZ fail,U25損壞"
"加料機捅料杆總往下掉,應該是驅動機有問題,換了個驅動就好了","加料機捅料杆總往下掉,應該是驅動機有問題,換驅動可解决"
參數丟失,參數報錯
參數設定錯誤,參數設置異常
"參數設置後,再斷電無法保存",參數設置異常
"參數設置異常,P1-01=106。","參數設置異常,P1~01=106"
"只上電L1C和L2C情況,驅動器出現AL006報警",只上電L1C和L2C情况報警AL006
"只接電源線,P/C有310V電壓輸出","只接電源線,P,C有310V電壓輸出"
周轉機控制板被維修非元件燒壞,周轉機控制板被維修非元件燒毀
啓動電阻壞,啓動電阻燒毀
啓動電阻燒壞,啓動電阻燒毀
回升電阻發熱,回生電阻發熱
回生電阻open,回生電阻OPEN
回生電阻燒,回生電阻燒毀
"在設備運行一個月左右,報警AL001,AL006,電機停轉","在設備運行一個月左右報警AL001,AL006"
地線螺絲擰不緊,地線螺絲滑牙
報001,AL001
"報001,009","AL001,AL009"
報001.009,"AL001,AL009"
報003,AL003
報0031,AL031
報006,AL006
"報006和009,有時候識別不到,不會走,有時候瞬間返回的時候它不動,反轉的時候不會動,導致報警","AL006,AL009,有時候識別不到,不會走,有時候瞬間返回的時候它不動,反轉的時候不會動,導致報警"
報006過載,AL006
報009,AL009
報01,AL001
"報01,過電流","AL001,過電流"
報011,AL011
"報011,第3次報修","AL011,第3次報修"
報03,AL003
報033,AL033
報06,AL006
報06.09待檢測,"AL006,AL009,待檢測"
報083,AL083
報085,AL085
報086,AL086
"報09,可能燒了",AL009
報09F,AL09F
報0X31,AL0X31
報180,AL180
報20,AL020
報22,AL022
報3C3,AL3C3
報AL001,AL001
報AL001 低電壓,"AL001,低電壓"
"報AL001 過電流,不是上電就報,間接性報故障","AL001,過電流,不是上電就報,間接性報故障"
報AL001需要檢測報告,"AL001,需要檢測報告"
報AL003,AL003
報AL004,AL004
報AL006,AL006
報AL006 /  AL085,"AL006,AL085"
"報AL006,AL086","AL006,AL086"
報AL011,AL011
報AL011代碼,AL011
報AL06過載,AL006
報AL072,AL072
報AL083,AL083
報AL085,AL085
報AL091,AL091
報AL09C,AL09C
報AL09F,AL09F
"報AL09F,需要技術檢測",AL09F
報AL3E1,AL3E1
報ALL298,AL298
報L09F,AL09F
報OX03E3,ALOX03E3
報RD-3,ALRD3
報RL.086,AL086
報RL003,AL003
報RL011,AL011
報e23,ALE23
報低電壓,報警
報故障碼 L085 AL01,"AL001,AL085"
報警  丟原點,報警
報警 RL003,AL003
報警 沒反應,報警
"報警,燒壞,短路,無顯示或無輸出",報警
"報警,需檢測報告",報警
報警001,AL001
報警001.需要檢測報告,AL001
報警006,AL006
報警01,AL001
報警022.需要檢測報告,AL022
報警02f,AL02F
報警03,AL003
報警06,AL006
報警083,AL083
報警085,AL085
"報警086,懷疑內置電阻不良","AL086,懷疑內置電阻不良"
報警09,AL009
報警09F,AL09F
報警11,AL011
報警15,AL015
報警22,AL022
報警3E3,AL3E3
報警85,AL085
報警86,AL086
報警90F,AL90F
報警A1C31,ALC31
報警AL001,AL001
報警AL001.需檢測報告,AL001
報警AL001/通電無顯示 燒了,AL001
報警AL001/通電無顯示 燒了 /剎車輸出點一直有輸出,AL001
報警AL003,AL003
"報警AL003,故障上電無顯示",AL003
報警AL003.需檢測報告,AL003
"報警AL003/AL005,換臺就正常","AL003,AL005"
報警AL003低電壓,AL003
報警AL006,AL006
"報警AL006,需要檢測報告",AL006
報警AL009,AL009
報警AL01,AL001
報警AL011,AL011
報警AL011 無法通訊,AL011
"報警AL011,報警AL068,內部送電導致跳閘","AL011,AL068"
報警AL011並閃爍,AL011並閃爍
報警AL013 AL025,"AL013,AL025"
報警AL016,AL016
"報警AL016,DJ1 pin22對pin24短路","AL016,DJ1 PIN22對PIN24短路"
報警AL016.不顯示,AL016
報警AL019,AL019
報警AL022,AL022
"報警AL022,需要檢測報告",AL022
報警AL025,AL025
報警AL031,AL031
報警AL035,AL035
報警AL044,AL044
報警AL048,AL048
"報警AL06,開不了機",AL006
報警AL068,AL068
報警AL083,AL083
"報警AL083,AL006","AL083,AL006"
報警AL085,AL085
"報警AL085,回生電阻異常",AL085
報警AL086,AL086
報警AL088,AL088
報警AL09,AL009
報警AL09F,AL09F
報警AL09F 電容充電異常,AL09F
報警AL100,AL100
報警AL11,AL011
報警AL16,AL016
報警ALM011,AL011
報警Al 001/偶發通訊異常,"AL001,偶發通訊異常"
報警RL.09C,AL09C
報警RL09C,AL09C
報警待檢測,報警
報警無法消除,報警
報警異常,報警
報警過負荷 AL06 AL086,"AL006,AL086"
報警過電流,報警
報過流AL83,AL083
報過電流,報警
報錯,報警
報錯001,AL001
報：AL031,AL031
"塑膠外殼燒熔,DC83,82鼓包,整流子DD22,DD23擊穿","塑膠外殼燒毀熔,DC83,82鼓包,整流子DD22,DD23擊穿"
壓敏電阻燒壞,壓敏電阻燒毀
壓線螺絲滑絲,壓線_螺絲滑牙
壞,異常
壞了,異常
"外殼燒壞,DC83,DC84炸裂","外殼燒毀,DC83,DC84炸裂"
外殼燒熔,外殼燒毀熔
"外殼燒熔,DC3,DC83,DC84鼓包","外殼燒毀熔,DC3,DC83,DC84鼓包"
"外部有腐蝕痕跡,端子&case燒融","外部有腐蝕痕迹,端子&case燒毀融"
"外部溫度過高導致伺服報警AL016,CASE熱融。","外部溫度過高導致伺服報警AL016,CASE熱融"
外部端子R 螺絲滑牙,外部端子R螺絲滑牙
外部端子T 螺絲滑牙,外部端子T螺絲滑牙
大量金屬粉污染,大量金屬絲
客報故障,客訴故障
"客戶反應UVW端有問題,煩請幫全面檢測,謝謝！",客戶反應UVW端有問題
客戶反應輸出扭力不夠,客戶反應輸出扭力不够
客戶反映報警06,AL006
客戶反映燒了,客戶反映燒毀
"客戶反映現場使用異常報警06,同樣參數換一臺就不報",AL006
"客戶反映顯示故障,幫檢測,謝謝！",客戶反映顯示故障
客戶端高速運行報03,客戶端高速運行報AL003
客戶等不急自己購買新機未用上週轉,客戶自行購買新機未用上周轉
客戶自行維修更換過元件,客戶自行維修拆除元件
"客戶誤報修,非DSP黑屏範圍內產品","客戶誤報修,非DSP黑屏範圍內産品"
客訴cn1異常,客訴CN1異常
"客訴故障：短路   檢查結果：上電無顯示,內部發紅燒燬,未跳閘","客訴故障：短路   檢查結果：上電無顯示,內部發紅燒毀,未跳閘"
客責-R螺絲應力痕跡明顯,客戶責任~R螺絲應力痕跡明顯
"實際電壓正常,但顯示報警086或R處鎖不緊/地線螺絲擰不緊/屏幕顯示不全","AL086,螺絲滑牙,顯示異常"
少一個按鍵,少按鍵
少按鈕,少按鍵
"少按鍵,按鈕鬆動",少按鍵
屏幕不亮,屏幕無顯示
屏幕不顯示,屏幕無顯示
屏幕時亮時不亮,屏幕顯示不全
工作中有時報警RL003,AL003
帶機運轉報AL01,帶電運轉報AL001
帶載正常,帶電測試運行正常
帶載測試運行正常,帶電測試運行正常
帶載運行正常,帶馬達運轉正常
帶電機運行正常,帶電測試運行正常
帶馬達運行報警ALC31,帶馬達報警ALC31
"帶馬達運轉正常,未發現損壞痕跡。","帶馬達運轉正常,未發現損壞痕跡"
帶馬達長時間運轉正常,帶馬達運轉正常
幫忙全面檢測,檢查維修
幫忙檢測,檢查維修
手焊時錫渣掉落IGBT腳位短路,手焊時錫渣掉落IGBT脚位短路
找不到站點/通電報AL09C,"找不到站點,通電報AL09C"
找不到站點/通電顯示屏不亮/報AL61,"找不到站點,通電顯示屏不亮,報AL061"
"把穩壓IC U6 pin上防潮膠移除,上電電壓偵測就恢復正常","把穩壓IC U6 PIN上防潮膠移除,上電電壓偵測就恢復正常"
"拆機檢查DC BUS CAP DC82,DC83,DC84電容微鼓包,DC3電容鼓包","拆機檢查DC BUS CAP DC82,DC83,DC84電容微鼓包 ,DC3電容鼓包"
"按shift,伺服報警AL03E3","按SHIFT,伺服報警AL03E3"
按shift會導致3E3,"按SHIFT,伺服報警AL03E3"
按shift鍵報警通訊斷線,按SHIFT鍵報警通訊斷線
按shift鍵會造成EtherCAT通訊錯誤,按SHIFT鍵會造成EtherCAT通訊錯誤
按鈕mode shift down壞了,"按鍵MODE,SHIFT,DOWN異常"
按鈕mode shift壞了,"按鍵MODE,SHIFT異常"
按鈕mode up shift壞了,"按鍵MODE,UP,SHIFT異常"
按鈕mode壞了,按鍵MODE異常
"按鈕mode壞了,外殼損傷","按鍵MODE異常,外殼損傷"
按鈕up shift壞了,"按鍵UP,SHIFT異常"
按鈕up壞了,按鍵UP異常
按鈕全部壞了,按鍵全異常
按鈕壞,按鍵異常
按鈕壞了,按鍵異常
按鈕失靈,按鍵不靈敏
按鈕掉了,按鍵缺失
按鈕損壞,按鍵缺失
按鈕沒蓋子,按鍵缺失
按鈕無反應,按鍵不靈敏
按鈕無效,按鍵不靈敏
按鍵不良,按鍵不靈敏
按鍵不靈,按鍵不靈敏
按鍵壞,按鍵損壞
按鍵壞了,按鍵損壞
"按鍵壞了,螺絲滑牙","按鍵損壞,螺絲滑牙"
按鍵失靈,按鍵異常
按鍵掉落,按鍵缺失
按鍵斷,按鍵損壞
按鍵斷了,按鍵損壞
按鍵異常,按鍵脫落
掉了一個按鈕,缺按鍵
接上BCC2B3JBW20502058此序列號電機後直接燒壞,接上BCC2B3JBW20502058此序列號電機後直接燒毀
接受脈衝控制不了方向,接受脉衝控制不了方向
接口壞,接口不良
接口有問題,接口不良
接地螺絲又擰不緊,接地螺絲滑牙
接地螺絲擰不緊,接地螺絲滑牙
接收不了脈衝,接收不了脉衝
接收脈衝無反應,接收脉衝無反應
接綫錯誤,接線錯誤
接線 1-3滑絲,接線 1~3滑絲
接線的牙壞了,接線螺孔滑牙
接線端子L1c漏焊,接線端子L1C漏焊
接線端子螺絲扣滑牙,螺絲滑牙
接線端螺絲打滑,螺絲滑牙
接觸不良顯示亂碼,接觸不良
"控制板1.2V短路,R222燒,DR58損壞,IGBT底部燒穿一個洞","控制板1.2V短路,R222燒毀,DR58損壞,IGBT底部燒毀穿一個洞"
"控制板多處炸機,U1,U5,U6,U7,U8,U15,U18,U33,L1,D13等損壞","控制板多處炸裂機,U1,U5,U6,U7,U8,U15,U18,U33,L1,D13等損壞"
控制板有明顯維修痕跡,控制板有明顯維修痕迹
"控制板有維修痕跡,IGBTpin腳彎,焊錫異常,AB機","控制板有維修痕迹,IGBTPIN脚彎,焊錫異常,AB機"
"控制面板顯示AL085,300VDC上電,檢查VBUS電壓為552VDC","控制面板顯示AL085,300VDC上電,檢查VBUS電壓爲552VDC"
"換的系列A-1021-E這臺週轉機,前幾天拆開調試,發現主板上有燒了的痕跡","換的系列A~1021~E這台周轉機,前幾天拆開調試,發現主板上有燒毀了的痕迹"
撞機走位不準,撞機後走位異常
操作面板無顯示,顯示異常
收不到上位機發送的脈衝指令,收不到脉衝
收不到脈衝,收不到脉衝
收不到脈衝 位置走不準,收不到脉衝
"故障,報al001",AL001
"故障現象:新機,初次上電 面板顯示不全",上電無顯示
"散熱片受潮,產品功能測試正常","散熱片受潮,産品功能測試正常"
"散熱片有泡水受潮痕跡,V相電流偵測芯片DPH2供電5VV爲0V,DD7二極管特性異常變大","散熱片有泡水受潮痕迹,V相電流偵測芯片DPH2供電5VV爲0V,DD7二極管特性異常變大"
"散熱片有泡水受潮痕跡,W相電流偵測芯片DPH5 5VW對PIN8(AGND)短路,軟起電路DQ3特性異常","散熱片有泡水受潮痕迹,W相電流偵測芯片DPH5 5VW對PIN8(AGND)短路,軟起電路DQ3特性異常"
"整機上電讀取參數正常,無故障顯示,帶馬達空載3000rpm運行正常,連續帶滿載4小時正常運行","整機上電讀取參數正常,無故障顯示,帶馬達空載3000rPm運行正常,連續帶滿載4小時正常運行"
"整流子 pin腳打火,有鐵片進去","整流子 PIN腳打火,有鐵片進去"
整流子 pin腳打火熔斷,整流子PIN腳打火熔斷
"整流子DD22 RS對P擊穿,IGBT U上橋擊穿","整流子DD22,RS對P擊穿,IGBT U上橋擊穿"
整流子DD22 R對N短路,"整流子DD22,R對N短路"
整流子DD22和DD23擊穿,"整流子DD22,DD23擊穿"
整流子DD22和DD23炸機,"整流子DD22,DD23炸裂機"
"整流子DD22擊穿,DVAR1PIN腳炸斷","整流子DD22擊穿,DVAR1PIN脚炸裂斷"
